evento_id;fecha_inicio;fecha_fin;Qmax_evento;Qmed_evento;volumen_total;duracion_dias;Qbase;ratio_Qmax_Qbase
217;2008-05-11;2008-05-11;6.786;6.786;6.786;1;4.664285714285714;1.454885145482389
218;2008-05-23;2008-05-29;14.672;9.850857142857143;68.956;7;4.413714285714286;3.324184360435008
219;2008-05-31;2008-06-06;7.159;5.2294285714285715;36.606;7;8.670857142857143;0.8256392513509951
220;2008-12-07;2008-12-08;8.149;7.597999999999999;15.195999999999998;2;0.3892857142857143;20.93321100917431
221;2009-02-04;2009-02-04;7.768;7.768;7.768;1;4.279571428571429;1.8151350268718496
222;2009-10-22;2009-10-22;15.109;15.109;15.109;1;1.0779999999999998;14.015769944341375
223;2009-12-22;2010-01-08;55.335;23.77;427.86;18;1.7594285714285713;31.450552127314065
224;2010-01-12;2010-01-19;12.425;9.737125;77.897;8;9.249142857142857;1.3433677251946128
225;2010-02-17;2010-02-17;8.699;8.699;8.699;1;2.750285714285714;3.162944109702888
226;2010-02-22;2010-03-10;47.829;18.986470588235292;322.77;17;5.061714285714285;9.449170241589524
227;2010-03-20;2010-03-31;15.109;11.019166666666665;132.23;12;5.9921428571428565;2.5214685898200027
228;2010-04-15;2010-04-19;23.69;16.0464;80.232;5;6.140857142857143;3.857767645279859
229;2010-04-22;2010-04-22;10.716;10.716;10.716;1;13.892857142857142;0.771331619537275
230;2010-05-01;2010-05-01;6.801;6.801;6.801;1;7.885428571428571;0.862476901337005
231;2010-05-09;2010-05-10;18.483;13.401;26.802;2;5.534999999999999;3.33929539295393
232;2010-06-09;2010-06-11;5.024;4.581666666666667;13.745000000000001;3;2.178857142857143;2.305795961185418
233;2010-07-01;2010-07-02;1.26;1.26;2.52;2;1.5025714285714284;0.8385624643468341
234;2010-10-03;2010-10-04;6.415;6.415;12.83;2;0.07571428571428572;84.72641509433961
235;2010-10-09;2010-10-10;16.318;11.3665;22.733;2;2.9714285714285715;5.491634615384616
236;2010-10-31;2010-10-31;7.539;7.539;7.539;1;0.7958571428571429;9.472805600430801
237;2010-12-05;2010-12-14;53.258;24.0199;240.199;10;2.215;24.04424379232506
238;2010-12-21;2011-01-03;42.814;14.570214285714286;203.983;14;5.481714285714285;7.810330449285939
239;2011-01-05;2011-01-18;58.794;20.476714285714284;286.674;14;11.225;5.237772828507795
240;2011-03-15;2011-03-15;12.369;12.369;12.369;1;3.5481428571428566;3.4860490397390995
241;2011-04-20;2011-04-22;18.17;14.601;43.803000000000004;3;3.910142857142857;4.646889043147858
242;2011-05-01;2011-05-03;18.652;11.758666666666668;35.276;3;6.018999999999999;3.098853630171125
243;2011-10-24;2011-10-30;61.702;19.843714285714288;138.906;7;0.05128571428571428;1203.1030640668525
244;2011-11-02;2011-11-06;44.681;24.5384;122.692;5;16.347285714285714;2.7332366229430836
245;2011-11-09;2011-11-12;20.1;11.8565;47.426;4;19.465714285714284;1.03258476442096
246;2011-11-14;2011-11-16;10.701;9.372;28.116;3;9.735285714285714;1.0991973234331667
247;2011-11-19;2011-11-22;23.029;15.13;60.52;4;7.956;2.894544997486174
248;2012-04-26;2012-04-26;11.105;11.105;11.105;1;0.9762857142857143;11.374743927421715
249;2012-05-03;2012-05-05;17.687;12.976666666666667;38.93;3;7.2584285714285715;2.4367533311027576
250;2012-05-08;2012-05-08;9.489;9.489;9.489;1;8.652714285714286;1.09665010153709
251;2012-09-26;2012-09-30;8.699;3.5188;17.594;5;0.04257142857142857;204.33892617449663
252;2012-10-18;2012-10-19;9.256;8.9975;17.995;2;0.266;34.796992481203006
253;2012-10-25;2012-10-27;18.329;9.513666666666667;28.541000000000004;3;3.623142857142858;5.058867597192649
254;2012-11-08;2012-11-10;37.229;27.89;83.67;3;3.333714285714286;11.167423723003084
255;2012-11-17;2012-11-17;11.421;11.421;11.421;1;4.768857142857143;2.39491342639746
256;2012-12-14;2012-12-15;19.732;16.1535;32.307;2;1.4402857142857142;13.700059512001587
257;2013-01-19;2013-01-22;43.944;18.09375;72.375;4;1.444857142857143;30.41407949377101
